index,observation.camera_intrinsic,observation.camera_extrinsic,action,observation.camera_extrinsic_occ,observation.camera_intrinsic_occ
0,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([ 1.,  0.,  0., -0.], dtype=float32)
 array([ 0.       ,  0.4460214, -0.8950223,  0.       ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.13170727,  0.44213596, -0.88722545, -2.1119704 ], dtype=float32)
 array([-0.99128866,  0.05874426, -0.11788094,  2.6310163 ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.8792104 , -0.22905724,  0.41775817, -1.64524   ], dtype=float32)
 array([ 0.2168626 ,  0.97314715,  0.07717033, -0.10255233], dtype=float32)
 array([-0.42421657,  0.02274718,  0.90527505,  0.1177894 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([237.31744,   0.     , 336.41742], dtype=float32)
 array([  0.     , 271.3937 , 189.85501], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
1,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([ 1.,  0.,  0., -0.], dtype=float32)
 array([ 0.       ,  0.4460214, -0.8950223,  0.       ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.11624841,  0.44299746, -0.88895416, -2.0634487 ], dtype=float32)
 array([-0.99322015,  0.05184928, -0.10404491,  2.6372113 ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.8684608 , -0.23747578,  0.43517947, -1.6337864 ], dtype=float32)
 array([ 0.22487484,  0.9710063 ,  0.08110563, -0.11119834], dtype=float32)
 array([-0.44182262,  0.02742385,  0.89668316,  0.1358778 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([237.31744,   0.     , 336.41742], dtype=float32)
 array([  0.     , 271.3937 , 189.85501], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
2,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([ 1.,  0.,  0., -0.], dtype=float32)
 array([ 0.       ,  0.4460214, -0.8950223,  0.       ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.09999987,  0.44378573, -0.89053595, -2.0164251 ], dtype=float32)
 array([-0.9949874 ,  0.04460208, -0.08950211,  2.6424603 ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.8572856 , -0.24577844,  0.45238736, -1.6222974 ], dtype=float32)
 array([ 0.23278603,  0.96878874,  0.0851997 , -0.11980233], dtype=float32)
 array([-0.45920804,  0.03226898,  0.88774246,  0.15389523], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([237.31744,   0.     , 336.41742], dtype=float32)
 array([  0.     , 271.3937 , 189.85501], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
3,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([ 1.,  0.,  0., -0.], dtype=float32)
 array([ 0.       ,  0.4460214, -0.8950223,  0.       ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.08292203,  0.44448534, -0.8919399 , -1.9708728 ], dtype=float32)
 array([-0.99655604,  0.036985  , -0.07421707,  2.6467803 ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.8456905 , -0.25396112,  0.46937338, -1.6107378 ], dtype=float32)
 array([ 0.24059233,  0.9664957 ,  0.08945052, -0.12832227], dtype=float32)
 array([-0.4763643 ,  0.03728018,  0.8784573 ,  0.17177072], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([237.31744,   0.     , 336.41742], dtype=float32)
 array([  0.     , 271.3937 , 189.85501], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
4,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([ 1.,  0.,  0., -0.], dtype=float32)
 array([ 0.       ,  0.4460214, -0.8950223,  0.       ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.06497572,  0.4450789 , -0.89313096, -1.9267644 ], dtype=float32)
 array([-0.99788684,  0.02898056, -0.05815472,  2.6501892 ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.833681  , -0.2620198 ,  0.48612922, -1.599072  ], dtype=float32)
 array([ 0.24828988,  0.9641282 ,  0.09385599, -0.13671616], dtype=float32)
 array([-0.49328303,  0.04245501,  0.86883223,  0.18943329], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([237.31744,   0.     , 336.41742], dtype=float32)
 array([  0.     , 271.3937 , 189.85501], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
5,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([ 1.,  0.,  0., -0.], dtype=float32)
 array([ 0.       ,  0.4460214, -0.8950223,  0.       ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.04612193,  0.44554678, -0.8940698 , -1.8840729 ], dtype=float32)
 array([-0.9989358 ,  0.02057137, -0.04128016,  2.652704  ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.8212631, -0.2699506,  0.5026467, -1.5872648], dtype=float32)
 array([ 0.25587493,  0.96168745,  0.09841397, -0.14494193], dtype=float32)
 array([-0.5099559 ,  0.04779093,  0.85887194,  0.20681198], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([237.31744,   0.     , 336.41742], dtype=float32)
 array([  0.     , 271.3937 , 189.85501], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
6,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([ 1.,  0.,  0., -0.], dtype=float32)
 array([ 0.       ,  0.4460214, -0.8950223,  0.       ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.02632267,  0.44586688, -0.89471215, -1.8427712 ], dtype=float32)
 array([-0.9996535 ,  0.01174048, -0.02355938,  2.6543427 ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.8084427 , -0.27774957,  0.5189176 , -1.5752807 ], dtype=float32)
 array([ 0.26334378,  0.9591746 ,  0.10312223, -0.15295759], dtype=float32)
 array([-0.52637476,  0.05328531,  0.8485813 ,  0.22383583], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([237.31744,   0.     , 336.41742], dtype=float32)
 array([  0.     , 271.3937 , 189.85501], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
7,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([ 1.,  0.,  0., -0.], dtype=float32)
 array([ 0.       ,  0.4460214, -0.8950223,  0.       ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.00554226,  0.44601458, -0.89500856, -1.8028322 ], dtype=float32)
 array([-9.9998462e-01,  2.4719676e-03, -4.9604480e-03,  2.6551225e+00],
       dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.79522634, -0.2854129 ,  0.53493416, -1.5630844 ], dtype=float32)
 array([ 0.27069274,  0.9565909 ,  0.10797846, -0.16072111], dtype=float32)
 array([-0.54253155,  0.05893548,  0.8379654 ,  0.24043383], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([237.31744,   0.     , 336.41742], dtype=float32)
 array([  0.     , 271.3937 , 189.85501], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
8,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([ 1.,  0.,  0., -0.], dtype=float32)
 array([ 0.       ,  0.4460214, -0.8950223,  0.       ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.02374711,  0.44589564, -0.8947699 , -1.7516532 ], dtype=float32)
 array([-0.999718  , -0.01059172,  0.02125419,  2.6548567 ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.7816203 , -0.29293683,  0.5506884 , -1.5506405 ], dtype=float32)
 array([ 0.27791822,  0.9539376 ,  0.11298028, -0.16819045], dtype=float32)
 array([-0.5584184 ,  0.06473866,  0.82702947,  0.25653505], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([237.31744,   0.     , 336.41742], dtype=float32)
 array([  0.     , 271.3937 , 189.85501], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
9,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([ 1.,  0.,  0., -0.], dtype=float32)
 array([ 0.       ,  0.4460214, -0.8950223,  0.       ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.05490306,  0.44534868, -0.8936723 , -1.7027842 ], dtype=float32)
 array([-0.9984917 , -0.02448794,  0.04913946,  2.6531367 ], dtype=float32)
 array([-0.        ,  0.8950223 ,  0.4460214 ,  0.81382614], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([ 0.76763135, -0.3003177 ,  0.56617254, -1.5379137 ], dtype=float32)
 array([ 0.28501672,  0.95121604,  0.11812523, -0.17532362], dtype=float32)
 array([-0.5740275,  0.070692 ,  0.8157788,  0.2720685], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([237.31744,   0.     , 336.41742], dtype=float32)
 array([  0.     , 271.3937 , 189.85501], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
